id,company,ceo_name,ceo_source_url,source_checked_on
L01,Vulcan Elements,John Maslin,https://vulcanelements.com/,2026-09-25
L02,HomeVision,Jeff Foster,https://www.newrez.com/press-news/strategic-ai-investment-in-homevision/,2026-09-25
L03,Compyl,Stas Bojoukha,https://compyl.com/about-us/,2026-09-25
L04,Upscale.ai,Herman Yang,https://m12.vc/news/founders-feature-upscale-ai/,2026-09-25
L05,Toothio,Ian Prendergast,https://www.toothio.com/blog/toothio-expands-to-new-markets,2026-09-25
L06,Handspring Health,Sahil Choudhry,https://www.handspringhealth.com/about,2026-09-25
L07,Ryse Marketplace,Sean Mitchell,https://www.rysemarket.com/about,2026-09-25
L08,Workgrounds,Nikhil Sethi,https://workgrounds.com/about,2026-09-25
L09,SunRay Scientific,Madhu Stemmermann,https://www.sunrayscientific.com/about/,2026-09-25
L10,Kintra Fibers,Billy McCall,https://www.oceaninnovatorsplatform.org/en/speakers/billy-mccall,2026-09-25
L11,Adrich,Adhithi Aji,https://www.adrich.io/news,2026-09-25
L12,Regenosine,Siddhesh Angle,https://regenosine.com/team,2026-09-25
